"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201648",7,11
"201649",3,10
"201650",11,8.75
"201651",5,6.5
"201652",13,8
"201701",8,9.25
"201702",8,8.5
"201703",12,10.25
"201704",9,9.25
"201705",10,9.75
"201706",10,10.25
"201707",15,11
"201708",12,11.75
"201709",5,10.5
"201710",8,10
"201711",7,8
"201712",14,8.5
"201713",7,9
"201714",10,9.5
"201715",6,9.25
"201716",13,9
"201717",7,9
"201718",12,9.5
"201719",9,10.25
"201720",7,8.75
"201721",6,8.5
"201722",6,7
"201723",12,7.75
"201724",10,8.5
"201725",12,10
"201726",16,12.5
"201727",8,11.5
"201728",7,10.75
"201729",14,11.25
"201730",10,9.75
"201731",17,12
"201732",9,12.5
"201733",11,11.75
"201734",11,12
"201735",5,9
"201736",8,8.75
"201737",13,9.25
"201738",13,9.75
"201739",10,11
"201740",12,12
"201741",9,11
"201742",14,11.25
"201743",10,11.25
"201744",12,11.25
"201745",9,11.25
"201746",9,10
"201747",8,9.5
"201748",7,8.25
"201749",9,8.25
"201750",10,8.5
"201751",13,9.75
"201752",9,10.25
"201801",4,9
"201802",9,8.75
"201803",12,8.5
"201804",10,8.75
"201805",9,10
"201806",18,12.25
"201807",11,12
"201808",11,12.25
"201809",10,12.5
"201810",12,11
"201811",15,12
"201812",15,13
"201813",19,15.25
"201814",9,14.5
"201815",13,14
"201816",14,13.75
"201817",14,12.5
"201818",3,11
"201819",8,9.75
"201820",7,8
"201821",12,7.5
"201822",9,9
"201823",10,9.5
"201824",11,10.5
"201825",12,10.5
"201826",11,11
"201827",12,11.5
"201828",17,13
"201829",13,13.25
"201830",12,13.5
"201831",6,12
"201832",15,11.5
"201833",11,11
"201834",8,10
"201835",12,11.5
"201836",9,10
"201837",8,9.25
"201838",12,10.25
"201839",11,10
"201840",9,10
"201841",7,9.75
"201842",13,10
"201843",9,9.5
"201844",8,9.25
"201845",11,10.25
"201846",4,8
"201847",8,7.75
"201848",12,8.75
"201849",10,8.5
"201850",14,11
"201851",9,11.25
"201852",8,10.25
"201901",11,10.5
"201902",9,9.25
"201903",11,9.75
"201904",20,12.75
"201905",9,12.25
"201906",8,12
"201907",12,12.25
"201908",15,11
"201909",15,12.5
"201910",7,12.25
"201911",12,12.25
"201912",16,12.5
"201913",12,11.75
"201914",7,11.75
"201915",15,12.5
"201916",11,11.25
"201917",12,11.25
"201918",7,11.25
"201919",5,8.75
"201920",11,8.75
"201921",8,7.75
"201922",6,7.5
"201923",10,8.75
"201924",10,8.5
"201925",10,9
"201926",9,9.75
"201927",11,10
"201928",10,10
"201929",5,8.75
"201930",11,9.25
"201931",10,9
"201932",8,8.5
"201933",9,9.5
"201934",8,8.75
"201935",9,8.5
"201936",11,9.25
"201937",15,10.75
"201938",10,11.25
"201939",8,11
"201940",13,11.5
"201941",14,11.25
"201942",16,12.75
"201943",15,14.5
"201944",12,14.25
"201945",10,13.25
"201946",8,11.25
"201947",11,10.25
"201948",10,9.75
"201949",8,9.25
"201950",14,10.75
"201951",9,10.25
"201952",11,10.5
"202001",11,11.25
"202002",12,10.75
"202003",14,12
"202004",16,13.25
"202005",13,13.75
"202006",12,13.75
"202007",7,12
"202008",11,10.75
"202009",16,11.5
"202010",5,9.75
"202011",9,10.25
"202012",15,11.25
"202013",10,9.75
"202014",10,11
"202015",11,11.5
"202016",7,9.5
"202017",9,9.25
"202018",9,9
"202019",4,7.25
"202020",8,7.5
"202021",13,8.5
"202022",6,7.75
"202023",8,8.75
"202024",7,8.5
"202025",7,7
"202026",12,8.5
"202027",7,8.25
"202028",5,7.75
"202029",4,7
"202030",3,4.75
"202031",7,4.75
"202032",7,5.25
"202033",5,5.5
"202034",7,6.5
"202035",8,6.75
"202036",10,7.5
"202037",11,9
"202038",6,8.75
"202039",8,8.75
"202040",7,8
"202041",6,6.75
"202042",4,6.25
"202043",7,6
"202044",6,5.75
"202045",9,6.5
"202046",9,7.75
"202047",10,8.5
"202048",9,9.25
"202049",13,10.25
"202050",8,10
"202051",10,10
"202052",7,9.5
"202053",9,8.5
"202101",6,8
"202102",9,7.75
"202103",13,9.25
"202104",4,8
"202105",7,8.25
"202106",12,9
"202107",6,7.25
"202108",10,8.75
"202109",5,8.25
"202110",5,6.5
"202111",4,6
"202112",8,5.5
"202113",5,5.5
"202114",9,6.5
"202115",3,6.25
"202116",9,6.5
"202117",8,7.25
"202118",6,6.5
"202119",8,7.75
"202120",13,8.75
"202121",10,9.25
"202122",9,10
"202123",12,11
"202124",11,10.5
"202125",8,10
"202126",11,10.5
"202127",11,10.25
"202128",9,9.75
"202129",6,9.25
"202130",5,7.75
"202131",5,6.25
"202132",8,6
"202133",6,6
"202134",10,7.25
"202135",13,9.25
"202136",11,10
"202137",11,11.25
"202138",11,11.5
"202139",10,10.75
"202140",6,9.5
"202141",7,8.5
"202142",7,7.5
"202143",9,7.25
"202144",12,8.75
"202145",9,9.25
"202146",10,10
"202147",9,10
"202148",12,10
"202149",9,10
"202150",10,10
"202151",5,9
"202152",5,7.25
"202201",8,7
"202202",8,6.5
"202203",16,9.25
"202204",11,10.75
"202205",11,11.5
"202206",8,11.5
"202207",9,9.75
"202208",9,9.25
"202209",16,10.5
"202210",10,11
"202211",10,11.25
"202212",8,11
"202213",10,9.5
"202214",2,7.5
"202215",7,6.75
"202216",10,7.25
"202217",,
"202218",,
"202219",,
"202220",,
"202221",,
"202222",,
"202223",,
"202224",,
"202225",,
"202226",,
"202227",,
"202228",,
"202229",,
"202230",,
"202231",,
"202232",,
"202233",,
"202234",,
"202235",,
"202236",,
"202237",,
"202238",,
"202239",,
"202240",,
"202241",,
"202242",,
"202243",,
"202244",,
"202245",,
"202246",,
"202247",,
"202248",,
"202249",,
"202250",,
"202251",,
"202252",,
